INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '1', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '2', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '3', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '4', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '5', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '6', '1');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '7', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '8', '2');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '9', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '10', '2');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '11', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '12', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '13', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '14', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '15', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '16', '1');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '17', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '18', '2');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '19', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '20', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '21', '2');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '22', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '23', '1');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '24', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '25', '1');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '26', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '27', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '28', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '29', '1');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '30', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '31', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '32', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '33', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '34', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '35', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '36', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '37', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '38', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '39', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '40', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '41', '1');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '42', '1');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '43', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '44', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '45', '2');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '46', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '47', '5');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '48', '4');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '49', '3');
INSERT INTO `employee` (`first_name`, `last_name`,  `daily_salary`) VALUES ('Employee', '50', '2');
